Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         338609.09,         353348.19,         298561.92,         311897.95,         340101.57,         333927.81,         319014.26,         303419.07,         250372.23,         185777.84,         213946.24,         190708.91,         172119.76,         146831.36,         127481.12,          96429.11,          75329.77,          68542.54,          75197.12,          58459.19,          51209.13,          57961.33,          56859.52,          53123.94,,,,,,          17496.66,          13172.51
,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,          78312.73,          62506.78,          54436.08,,,,,,,,,,
,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         334137.72,         314791.45,         280777.12,         285647.83,         304499.16,         299305.90,         267372.07,         254810.24,         233311.01,         174789.66,         211225.77,         204937.42,         185059.84,         159898.22,         140154.13,         108502.79,          92295.16,          78907.64,          85973.41,          63469.88,          55979.01,          65845.66,          67987.10,          65116.95,          53992.64,          47608.22,,,,,
,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,          67796.93,          67118.17,          67781.22,          55807.50,          46110.24,          36938.30,          30008.27,          24723.67,,
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         864941.12,         829931.34,         769988.71,         792163.63,         779657.78,         734706.83,         719298.78,         671667.06,         608587.83,         483898.80,         602869.63,         591006.11,         561818.07,         492382.15,         437840.06,         371283.14,         347528.27,         328925.08,         369415.35,         320837.63,         295721.49,         285311.48,         266289.12,         267062.86,         246852.09,         215109.75,         160628.94,         142415.73,         139618.13,         141223.20,         114416.88
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         452471.95,         429871.25,         383482.80,         405148.51,         434914.02,         425336.82,         415715.58,         402844.92,         346299.65,         275857.04,         332377.71,         295453.95,         271380.40,         242504.82,         227586.92,         199978.42,         186092.56,         188803.90,         207227.88,         187212.71,         181342.58,         212826.80,         216390.55,         197436.72,         160477.16,         136460.35,         117871.35,         106856.71,         101595.57,          92250.82,          64850.66
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),     2932508678.22,     2654417671.02,     2768296498.48,     2875715408.99,     3437893062.21,     2383689875.17,     2313474705.65,     3141865622.61,     2600536595.97,     1949211527.73,     2424628419.87,     1993351220.81,     1755227614.65,     1406252511.69,     1204510915.44,      955049080.73,      806726107.89,      696559998.39,      747706945.91,      583151188.59,      546811589.40,      632585348.55,      627507845.25,      333556472.26,      154245446.34,      162893636.31,      129230945.69,      145500338.56,      125839399.23,      147013124.67,      231279816.94
,World,Animal,Export,Export(US$ Mil),          66601.77,          70597.08,          66262.12,          66997.45,          76058.55,          67941.24,          63901.64,          67419.54,          53038.47,          42816.02,          46477.65,          40438.79,          35865.09,          34025.76,          32206.44,          28087.61,          26539.56,          26860.94,          25538.13,          22262.16,          21839.75,          23906.23,          23778.40,          23238.53,          21379.30,          18471.87,          17155.86,          13542.36,          12053.85,          11208.96,           4998.56
,World,Capital goods,Export,Export(US$ Mil),        2678105.18,        2546122.40,        2285762.84,        2364348.15,        2413312.72,        2363774.39,        2303355.28,        2217782.01,        1998046.32,        1541958.98,        1784275.20,        1631853.92,        1341229.98,        1158384.40,        1073030.82,         796049.26,         686516.63,         626912.81,         716849.22,         580367.36,         519101.59,         547116.50,         526702.36,         520725.96,         427721.62,         350037.49,         279985.33,         243135.42,         214906.33,         199138.32,         158844.11
,World,Chemicals,Export,Export(US$ Mil),         345961.53,         302614.68,         265241.68,         270599.12,         296654.32,         287668.48,         288018.63,         292457.43,         234818.31,         180446.74,         212027.46,         187445.39,         156445.09,         137286.86,         122291.46,          95616.24,          77956.48,          72025.13,          75217.42,          65060.63,          58966.74,          63220.28,          59737.70,          59438.46,          46414.57,          38882.33,          32528.87,          25929.64,          23430.01,          21441.67,          16022.07
,World,Consumer goods,Export,Export(US$ Mil),        1680675.65,        1656766.58,        1552507.41,        1641651.12,        1789506.98,        1708440.95,        1648046.00,        1552319.67,        1287944.29,        1011044.50,        1254240.30,        1090037.03,         934781.26,         802422.03,         696444.39,         581432.22,         508469.59,         474176.88,         495958.73,         411010.88,         392355.96,         423137.87,         387684.00,         385620.69,         344527.74,         310949.25,         228971.98,         168511.78,         150601.05,         138727.14,         107270.75
,World,Food Products,Export,Export(US$ Mil),         109398.64,         104393.21,          96795.03,          93041.73,          95072.78,          91488.39,          88087.36,          83236.78,          67248.82,          56049.04,          58623.47,          50558.95,          42790.96,          37455.46,          33330.24,          28525.38,          25342.83,          22838.80,          21740.36,          20212.65,          20142.15,          24341.25,          25473.28,          22858.24,          20385.09,          17750.87,          14076.81,           9882.53,           8844.15,           8076.15,           3169.40
,World,Footwear,Export,Export(US$ Mil),          73601.59,          88381.64,          85606.02,          93685.43,          94898.03,          85532.84,          79101.29,          72462.66,          61076.78,          48449.29,          52918.66,          46560.01,          41702.24,          37538.83,          32566.32,          29063.18,          26379.07,          25820.30,          26471.33,          22977.43,          22980.21,          25676.68,          25080.73,          24843.99,          22598.50,          20315.24,          11733.74,           6775.72,           6539.84,           5101.02,           4181.95
,World,Fuels,Export,Export(US$ Mil),         327095.41,         297653.26,         224801.86,         258658.50,         379871.68,         394925.62,         405829.09,         411765.08,         301089.85,         223527.66,         327133.18,         211036.41,         186152.40,         151233.21,         114395.58,          85147.92,          71506.37,          73180.91,          75528.76,          49300.07,          47634.80,          62516.03,          56677.76,          46233.76,          43844.03,          44356.83,          44254.21,          38390.61,          36189.22,          27357.95,           6210.98
,World,Hides and Skins,Export,Export(US$ Mil),          47516.58,          49523.13,          47970.97,          53585.46,          54265.37,          54383.87,          50032.33,          47665.12,          38377.69,          29349.49,          33948.57,          32034.78,          30317.82,          30050.78,          27749.82,          24186.96,          21262.09,          21488.10,          20991.26,          17667.28,          17582.75,          19578.89,          19121.02,          18848.88,          16999.03,          14454.42,           8346.47,           5343.68,           5564.91,           5526.05,           4133.10
,World,Intermediate goods,Export,Export(US$ Mil),        1083518.22,        1043560.98,         954364.62,         988415.41,        1085611.02,        1076531.73,        1046194.70,        1039012.64,         828297.39,         625416.21,         801422.40,         690764.41,         575065.60,         476662.14,         424654.42,         331926.70,         276403.42,         257892.80,         277854.42,         241351.29,         243414.00,         262999.33,         248660.44,         250201.98,         201247.62,         173747.92,         135570.72,         108253.20,          98046.77,          95407.07,          67051.42
,World,Mach and Elec,Export,Export(US$ Mil),        2422146.68,        2282607.19,        2050759.06,        2107189.47,        2146100.59,        2091488.04,        1997484.51,        1926972.67,        1755477.00,        1362793.85,        1591457.47,        1492904.74,        1221363.70,        1062000.92,         997850.89,         741668.56,         647203.25,         587997.63,         673889.66,         540465.22,         481742.27,         511109.86,         496154.15,         488694.40,         395662.58,         321329.75,         249594.83,         215131.33,         189843.66,         176029.80,         135161.78
,World,Metals,Export,Export(US$ Mil),         369426.79,         340853.20,         305760.29,         340640.32,         373590.98,         344559.14,         349881.46,         354953.09,         289888.10,         213905.39,         330660.24,         280633.87,         223615.85,         169488.95,         140900.55,          97712.45,          80251.47,          74016.52,          81480.68,          70060.42,          72284.23,          76167.78,          70412.65,          76049.98,          57916.80,          52370.60,          43491.38,          37264.57,          35057.72,          37929.09,          31196.19
,World,Minerals,Export,Export(US$ Mil),          77927.68,          77965.41,          64470.32,          65142.03,          91215.06,         100200.99,          86471.05,          98367.54,          73605.05,          42631.60,          48572.57,          37534.19,          31646.48,          23620.24,          15163.84,          12385.92,          10401.22,          10656.31,          11171.86,           9219.31,          10375.01,          10597.24,          10349.26,           9027.71,           6878.07,           6634.75,           6788.04,           5724.83,           5278.55,           4807.32,           3282.34
