Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Tajikistan,World,Food Products,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,             11.57,,,,,,,,,,,,
Tajikistan,World,Footwear,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,              0.04,,,,,,,,,,,,
Tajikistan,World,Fuels,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,             92.13,,,,,,,,,,,,
Tajikistan,World,Hides and Skins,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,              0.10,,,,,,,,,,,,
Tajikistan,World,Mach and Elec,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,             13.10,,,,,,,,,,,,
Tajikistan,World,Metals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,            372.88,,,,,,,,,,,,
Tajikistan,World,Minerals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,              1.19,,,,,,,,,,,,
Tajikistan,World,Miscellaneous,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,              0.76,,,,,,,,,,,,
Tajikistan,World,Plastic or Rubber,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,              0.05,,,,,,,,,,,,
Tajikistan,World,Stone and Glass,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,             24.43,,,,,,,,,,,,
Tajikistan,World,Textiles and Clothing,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,            107.27,,,,,,,,,,,,
Tajikistan,World,Transportation,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,             41.22,,,,,,,,,,,,
Tajikistan,World,Vegetable,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,             18.07,,,,,,,,,,,,
Tajikistan,World,Wood,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,              0.06,,,,,,,,,,,,
Tajikistan,World,All Products,Export,Exports (in US$ Mil),,,,,,,,,,,,,,,,,,,            692.35,,,,,,,,,,,,
Tajikistan,World,All Products,Import,Imports (in US$ Mil),,,,,,,,,,,,,,,,,,,            643.97,,,,,,,,,,,,
Tajikistan,...,...,Development,"GNI per capita, Atlas method (current US$)",           1010.00,           1000.00,           1110.00,   1250.00,   1350.00,   1330.00,   1150.00,   1020.00,    920.00,    660.00,    570.00,    440.00,    370.00,    320.00,    270.00,    210.00,    170.00,    160.00,    170.00,    180.00,    180.00,    170.00,    170.00,    210.00,    210.00,    290.00,    350.00,,,,
Tajikistan,...,...,Trade Indicator,HH Market concentration index,,,,,,,,,,,,,,,,,,,      0.31,,,,,,,,,,,,
Tajikistan,...,...,Trade Indicator,Index of export market penetration,,,,,,,,,,,,,,,,,,,      1.44,,,,,,,,,,,,
Tajikistan,...,...,Development,Trade (% of GDP),,             56.64,             54.97,     52.73,     54.61,     71.74,     83.18,     79.78,     73.49,     85.98,    114.48,    145.53,    141.15,    126.99,    128.34,    137.67,    138.68,    146.66,    175.35,    133.61,    106.90,    181.59,    156.67,    137.52,     86.37,     70.20,,,,,
Tajikistan,...,...,Development,Trade Balance (% of GDP),,            -25.20,            -29.10,    -31.75,    -36.27,    -49.57,    -48.62,    -46.89,    -43.61,    -37.04,    -46.45,    -53.81,    -24.84,    -18.51,    -10.85,     -9.81,    -13.07,    -10.38,     -1.85,     -1.41,     -9.17,     -6.75,     -3.46,     -6.35,    -10.24,    -13.09,,,,,
Tajikistan,...,...,Development,Trade in services (% of GDP),              9.31,              8.75,              8.72,      9.10,      9.98,     13.66,     13.99,     13.80,     14.11,      9.44,     12.36,     19.93,     13.64,     17.22,     16.16,     13.51,     14.24,,,,,,,,,,,,,,
Tajikistan,Azerbaijan,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,      9.80,,,,,,,,,,,,
Tajikistan,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,      2.82,,,,,,,,,,,,
Tajikistan,Kazakhstan,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,     12.79,,,,,,,,,,,,
Tajikistan,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,     25.74,,,,,,,,,,,,
Tajikistan,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,     37.38,,,,,,,,,,,,
Tajikistan,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,     16.16,,,,,,,,,,,,
Tajikistan,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,     10.43,,,,,,,,,,,,
Tajikistan,Ukraine,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,     13.10,,,,,,,,,,,,
Tajikistan,Uzbekistan,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,     14.12,,,,,,,,,,,,
Tajikistan,Uzbekistan,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,     28.76,,,,,,,,,,,,
Tajikistan,World,All Products,Trade Indicator,Country Growth (%),,,,,,,,,,,,,,,,,,,     23.27,,,,,,,,,,,,
