Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,           6593.19,           7139.43,           7642.97,           6985.15,           6503.89,           8804.48,           8601.42,           8812.75,           7179.21,           5382.86,           5462.59,           5798.60,           5179.78,           2416.17,
,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          30689.76,          30783.40,          29446.50,          31793.07,          33848.21,          35524.64,          37496.68,          37073.34,          33577.77,          25287.67,          35923.93,          31528.02,          27755.75,          23631.76,          19457.34,          14831.74,          16561.31,          16409.78,          14416.71,          13175.85,          15562.57,          14661.45,          11803.34,          12242.79,          12057.24,           8518.60,           6792.99,           5214.70,           3671.50,           1608.25,
,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          22991.00,,          19655.52,          19547.25,          25265.58,,          27823.26,,,          17994.98,          24865.95,          20262.50,          16606.35,          13292.43,          12208.84,          10654.45,           7331.35,,,,,           7407.87,           7278.93,           6194.34,           6122.02,           4654.13,           3414.27,           3208.12,           3250.76,           2816.03,
,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,          33450.26,,,,,,,,,,,,,,,,,,,,,,,,,
,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,           2519.56,           2431.21,,
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         426311.23,         416036.13,         385338.37,         396757.43,         422753.34,         407819.51,         402504.95,         382957.43,         322833.28,         256153.31,         355894.44,         307765.09,         326886.15,         283026.31,         249482.53,         204243.79,         194773.57,         188598.42,         203220.70,         165750.64,         139881.77,         135850.36,         120849.24,          99558.62,          81717.48,          60263.63,          52406.75,          31305.64,          27839.00,           7898.54,
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         314054.98,         302348.27,         278664.84,         304796.00,         335312.56,         333711.44,         336580.84,         319268.55,         259449.09,         208783.63,         268374.55,         232134.10,         206944.00,         185435.10,         164572.83,         150741.49,         152851.97,         166465.95,         175710.02,         153963.62,         149375.21,         138822.16,         111920.82,          96012.05,          86990.65,          69148.73,          59888.24,          35348.50,          25896.59,           4139.39,
,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          26942.46,,,,,          67996.61,          81370.32,          83315.24,          61885.78,          56043.02,          38706.47,,          20581.86,          20670.27,          13423.72,,           9378.07,           8120.42,,,,,,,,,,,,,
,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,          33343.03,,,,,,,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),      663473643.94,      566721761.11,      321250832.43,      450376254.31,      587320228.48,      413490888.81,      432218415.43,      438148895.90,      335710964.66,      338456658.86,      463345056.87,      377318886.87,      309097303.65,      238182504.73,      214110493.85,       42358110.21,       85869066.14,       42892436.30,       32646023.03,       17719493.42,       24680681.97,       21941487.72,       17142104.93,       36394630.43,        5604487.38,        7348945.97,        6276033.66,       11785871.80,        7698031.18,        1322713.98,
,World,Animal,Export,Export(US$ Mil),          42558.39,          40768.27,          36843.92,          36996.28,          42946.52,          39046.69,          36198.55,          35650.75,          29886.23,          26732.83,          30895.30,          25090.22,          21989.84,          19774.82,          16439.28,          12336.99,          10293.09,          10214.94,           9428.95,           9191.83,           9290.50,           9394.21,           8442.43,           8099.51,           6679.90,           5014.95,           3373.48,           2967.39,           1902.85,            729.58,
,World,Capital goods,Export,Export(US$ Mil),         262927.56,         243705.49,         230280.87,         228514.12,         229503.90,         220216.79,         208938.35,         190477.17,         167051.24,         127324.18,         160904.72,         143276.18,         138852.62,         122148.74,         108319.33,          91335.46,          86785.65,          87130.82,          87747.52,          72666.36,          61378.31,          53506.54,          43525.24,          36822.48,          30698.12,          24652.41,          20283.00,           9913.56,           8815.51,           5495.03,
,World,Chemicals,Export,Export(US$ Mil),          32394.04,          34494.68,          36763.04,          42260.00,          46408.50,          48883.26,          49769.90,          49139.88,          39336.34,          32370.41,          38229.85,          30314.57,          27164.57,          23515.17,          20372.64,          16262.00,          14879.50,          14881.26,          14443.84,          13149.91,          12844.12,          12589.03,          11275.89,          10351.56,           7973.90,           6134.50,           5225.35,           4780.13,           3396.77,           1618.25,
,World,Consumer goods,Export,Export(US$ Mil),         217376.72,         214880.79,         198853.34,         214067.53,         230790.62,         251260.44,         254516.94,         222387.15,         213483.18,         184535.57,         229957.73,         188026.29,         172451.87,         158225.13,         130466.57,         104574.50,         101627.28,         105447.32,         106921.81,          81310.78,          83102.93,          77951.41,          67000.10,          57334.22,          47521.32,          35981.46,          28400.22,          16526.06,          12634.80,           6942.32,
,World,Food Products,Export,Export(US$ Mil),          66675.34,          72269.74,          69602.05,          67206.38,          74216.19,          77839.92,          75427.38,          74501.35,          63450.63,          56733.41,          55774.33,          46178.41,          41003.47,          34342.20,          29810.99,          25671.18,          23275.18,          22545.47,          19457.70,          19485.42,          19988.83,          21998.68,          20946.94,          17164.48,          14031.99,          11313.61,           9034.25,           7062.36,           6670.97,           5289.44,
,World,Footwear,Export,Export(US$ Mil),           2256.63,           2778.26,           3516.05,           3747.52,           4056.76,           4075.76,           4214.29,           3986.98,           3693.57,           3272.26,           4111.40,           3945.08,           3680.25,           2892.51,           2723.57,           2385.43,           2262.53,           2277.34,           2233.77,           2000.13,           2123.78,           2459.16,           2315.11,           2097.85,           2183.37,           2521.36,           1935.54,           1537.66,           1315.80,           1317.64,
,World,Fuels,Export,Export(US$ Mil),         108078.56,          83035.69,          59415.54,          78003.64,         139350.47,         236712.00,         253336.65,         220933.01,         178687.24,         141982.59,         208131.29,          99916.16,         149071.77,         122072.73,          85268.79,          61403.41,          51171.72,          52301.43,          61706.34,          37833.07,          27497.58,          39708.85,          41265.60,          31419.60,          26814.48,          13402.72,          13589.00,          13121.93,          10594.18,            852.13,
,World,Hides and Skins,Export,Export(US$ Mil),           3652.04,           4245.58,           4629.76,           5267.85,           6380.78,           5684.74,           5080.37,           4963.15,           4425.76,           3207.53,           4889.74,           5313.29,           4671.33,           3882.05,           3618.42,           3102.09,           2852.09,           3019.88,           3021.16,           2589.82,           2722.47,           2971.61,           2716.26,           2642.64,           2226.91,           1665.14,            816.74,            631.88,            444.69,            324.69,
,World,Intermediate goods,Export,Export(US$ Mil),         190620.55,         194218.71,         182678.26,         187869.78,         213806.87,         221640.17,         232497.18,         241088.58,         196235.89,         157036.44,         190754.16,         163103.84,         146082.43,         120302.06,         103161.01,          77987.76,          66794.93,          65812.89,          65809.92,          57685.05,          58224.77,          63991.83,          60900.24,          59237.24,          45306.38,          33843.51,          29193.78,          24442.50,          22241.80,          13950.33,
,World,Mach and Elec,Export,Export(US$ Mil),         180868.83,         172333.84,         162078.15,         164654.09,         169725.79,         162333.45,         161097.43,         149892.59,         139744.58,         112228.91,         140394.03,         123842.38,         121248.99,         103058.97,          92094.44,          80214.00,          77481.29,          78350.94,          81388.65,          67821.93,          56984.63,          50435.99,          42187.27,          36342.47,          30565.70,          24622.91,          20212.48,           7580.56,           6982.55,           3812.82,
,World,Metals,Export,Export(US$ Mil),          65198.79,          61364.77,          53105.85,          57485.68,          68277.05,          69658.72,          74915.83,          83278.35,          71249.09,          54406.27,          77278.19,          72337.21,          66797.38,          50769.35,          41757.35,          27838.61,          25287.79,          23810.87,          25074.59,          21012.41,          21739.86,          24354.75,          22301.84,          22679.37,          17101.01,          13368.94,          13464.86,          11253.90,          10722.63,           6333.94,
,World,Minerals,Export,Export(US$ Mil),          73552.15,          68820.49,          52688.67,          52239.65,          69468.31,          77419.90,          78229.84,          88110.36,          67249.66,          39607.71,          48203.96,          46175.26,          36581.26,          26559.35,          18345.54,          10575.41,           8680.73,           8723.61,           9071.50,           7949.03,           8256.92,           8380.60,           7653.56,           7536.04,           5677.14,           4448.13,           5439.75,           4984.65,           4341.67,           2589.78,
,World,Miscellaneous,Export,Export(US$ Mil),          51013.36,          45396.84,          45076.54,          44390.78,          46607.62,          42934.38,          43163.39,          64307.23,          32348.99,          29289.32,          32756.70,          38834.56,          29503.65,          23345.28,          21668.23,          19514.38,          19269.54,          17430.76,          16136.18,          11649.64,          10351.75,          13296.51,          10674.66,           6286.55,           5230.25,           4349.83,           3492.55,           1619.40,           1298.62,            706.87,
,World,Plastic or Rubber,Export,Export(US$ Mil),          23934.97,          24213.80,          22764.21,          23356.81,          24992.60,          24481.99,          24721.80,          23914.30,          19525.14,          15920.09,          18631.48,          17772.63,          15475.64,          13776.96,          11307.96,           8970.36,           7821.29,           7798.49,           7977.35,           6649.21,           6290.43,           6204.64,           5468.18,           5302.00,           4193.87,           3338.30,           2692.53,           1693.02,           1363.42,            880.67,
,World,Raw materials,Export,Export(US$ Mil),         298450.33,         270676.25,         224071.18,         233460.75,         305564.52,         392533.45,         392956.00,         393071.50,         294242.06,         215552.75,         289609.81,         189854.38,         216267.00,         164241.51,         123856.30,          99232.38,          83160.36,          77148.02,          83336.71,          66744.03,          62588.38,          74364.28,          69971.07,          59403.52,          49844.60,          32330.47,          29231.67,          28295.15,          21883.57,           8013.05,
,World,Stone and Glass,Export,Export(US$ Mil),          32956.77,          35587.95,          35360.23,          33536.07,          34958.90,          39355.57,          45618.69,          43420.01,          33142.99,          25419.18,          24595.63,          20759.53,          18752.21,          14042.20,          12130.11,          10009.18,           8516.00,           7116.64,           7224.29,           7011.30,           6931.37,           6391.62,           6078.77,           5704.01,           5095.21,           3149.85,           2628.79,           1972.04,           1592.37,            452.66,
,World,Textiles and Clothing,Export,Export(US$ Mil),          17660.96,          19074.38,          20116.45,          21419.88,          20910.31,          23012.52,          24744.24,          22727.44,          19610.70,          17352.56,          22792.02,          21935.77,          20703.82,          21775.68,          18372.54,          17048.10,          16756.44,          14983.58,          16098.13,          14612.83,          13712.56,          13516.38,          10997.68,           9634.48,           7156.67,           5305.19,           5016.97,           3444.43,           2335.66,           1761.14,
,World,Transportation,Export,Export(US$ Mil),         152289.40,         134108.01,         120043.23,         121284.21,         118946.24,         121366.41,         106634.06,          98684.42,          81826.65,          55920.00,          77831.91,          71100.30,          64047.75,          53483.76,          46008.78,          38835.27,          39045.32,          41096.64,          40690.32,          32801.20,          31701.34,          27617.74,          23209.90,          18225.56,          14318.48,          11728.47,           9473.84,           7032.73,           5635.54,           3045.43,
