Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,Monaco,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,           9345.89,          10608.28,           9491.86,,,
,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          49116.62,         124438.09,         101501.36,         237875.71,         263118.99,         311993.28,         361235.40,         249577.18,         157778.13,         215079.75,         138869.39,         141466.01,         109525.94,          80637.32,          56884.47,          43468.16,          37005.09,          42965.57,          25394.41,,,,,,          15528.91,          17711.87,          15025.28,,            339.16,
,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          28364.89,,,          23278.19,,,,,,,,,,,,,,,,,,,,,,,,,             33.58,,
,Special Categories,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,          25977.24,          21413.11,          19266.64,,,,,,
,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,            213.57,            212.69,
,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          32041.51,,,,          45631.50,,,,,,,,,,,,,,,,,,,,,,,,            621.72,            546.48,
,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,             27.52,,
,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,           9639.36,           7939.21,           5495.24,           6947.56,           6788.37,,           4389.19,           4528.57,           4022.30,            308.35,            263.28,
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          33012.99,          36753.37,          33021.46,          30959.25,,,          39504.69,          43762.79,          41227.44,          33823.14,          48985.79,          45364.87,          39477.69,          32128.27,          27264.53,          21610.08,          18467.35,          17495.51,          18623.32,          22682.41,          11443.26,          10524.64,          18423.85,          16444.30,           9508.27,           9781.01,          12948.50,          11384.89,,,
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          73379.33,          73071.02,          69510.07,          74456.07,          76611.78,          72992.74,          73103.96,          61708.67,          54390.30,          46666.94,          58242.48,          45292.62,          33577.62,          28053.44,          25836.25,          21040.91,          22018.07,          22225.74,          21294.89,          19788.86,          17506.89,          10634.22,          17057.96,          16691.40,           9725.67,           9030.89,           9555.44,           6876.36,            250.80,            190.82,
,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         546350.78,         428938.53,         358191.52,         378078.71,         538249.52,         639849.52,         373700.71,         435268.50,         286443.11,         191217.04,         292997.68,         218600.08,         216619.64,         149159.50,         146548.26,         119008.28,          86962.37,          79818.20,         101037.13,          31695.53,          45500.32,           7724.22,           6784.02,,,           6479.69,           7622.02,          11799.00,           5046.05,            297.23,
,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,          93651.51,         110721.18,         128335.35,         124577.27,          44477.42,          75142.04,          77105.25,          61077.91,          48109.83,          39907.78,          64621.21,          27322.30,          30114.05,          26294.91,          15005.13,,,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),      332154565.66,      271359482.57,      285250858.36,      366821916.33,      351583532.34,      253488607.10,      262991361.58,      183998449.73,       50589767.34,      160735878.73,      205480280.85,      161801542.79,       97999973.32,      109282204.83,       53757644.79,       30382878.46,       29284479.43,       24485606.93,       26662244.24,       19791988.85,         924497.54,        1030152.79,        1520060.50,         218607.54,        2284911.25,       17232829.34,         565716.26,,         121882.40,,
,World,Animal,Export,Export(US$ Mil),           6047.91,           6479.99,           7038.90,           5963.62,           7497.95,           6612.28,           5175.19,           5922.94,           5674.46,           4937.72,           4982.23,           3514.81,           3361.32,           2918.27,           3192.29,           2714.76,           3111.80,           1514.71,           1441.58,           1286.55,           1190.41,           1027.93,           1033.35,           1076.00,            802.73,            705.48,            271.15,            172.20,             65.11,             64.26,
,World,Capital goods,Export,Export(US$ Mil),          83112.31,          77178.16,          50831.26,          57363.95,          56391.76,          53527.23,          73931.53,          30880.58,          29272.02,          28520.41,          38465.82,          29419.10,          19352.66,          24142.47,          15012.37,          12108.87,          10579.84,          11078.52,          12393.47,          12185.63,          11078.13,           9022.66,           8283.73,           7366.89,           2026.80,           1019.80,           1050.83,            684.81,             65.77,             68.98,
,World,Chemicals,Export,Export(US$ Mil),          63791.63,          59246.83,          53012.08,          48482.80,          63892.27,          60962.92,          60472.73,          60189.71,          46963.29,          33002.25,          43548.15,          27277.84,          25689.36,          21989.96,          16958.62,          13392.77,          11525.86,          10942.96,           9992.58,           9042.81,           8463.68,           5614.14,           7325.20,           7597.10,           4141.90,           3007.80,           3639.25,           2033.37,             18.56,             13.70,
,World,Consumer goods,Export,Export(US$ Mil),         205389.08,         273169.21,         246632.02,         253330.31,         362050.03,         350030.25,         215119.08,         274057.65,         224702.38,         149178.66,         258081.90,         196353.59,         140443.48,         121746.54,          91306.16,          72071.56,          60273.70,          57256.52,          52053.73,          30733.94,          21120.30,          19096.98,          15822.60,          14957.51,           9613.16,          10207.93,           9281.23,           4852.82,            331.81,            164.73,
,World,Food Products,Export,Export(US$ Mil),          16355.64,          17987.18,          12850.28,          11493.26,          12808.53,          12801.95,          12023.97,          10830.87,          10803.29,           8230.29,           8132.45,           5584.85,           5311.94,           4573.77,           3998.35,           3395.20,           2926.61,           2651.81,           2099.08,           1949.64,           1551.55,           1546.27,           1376.04,           1337.05,            752.45,            682.59,            273.09,            249.34,             10.47,             22.69,
,World,Footwear,Export,Export(US$ Mil),           1532.04,           1882.95,           1426.67,           1387.67,           1417.09,           1376.46,           1503.14,           1566.55,           1561.32,           1375.05,           1584.79,           1590.89,           1357.78,           1144.88,           1190.62,           1178.72,           1041.31,            776.53,            634.64,            663.18,            580.25,            493.18,            393.38,            364.32,            281.70,            266.38,            158.20,            104.43,              1.56,              0.60,
