Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         411297.09,         372315.11,         335191.19,         332619.96,         411074.68,         416499.83,         391933.10,         407805.27,         338456.67,         297012.08,         389586.65,         353387.19,         300325.41,         262727.71,         239041.72,         194096.98,,         152122.03,         163462.38,,,,,,,,,          49069.64,          47371.33,          37457.04,          30768.10
,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,         364327.26,,,,,,,,,,,,,,,,,,,,,,,
,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         424051.94,         404142.50,         404113.51,         386246.73,         439934.43,         429857.12,         430642.64,         412387.27,         362388.14,         330990.04,         451271.23,         419166.41,         361581.56,         329162.63,         316266.38,         266756.13,         235222.00,         219295.43,         213064.71,         197066.94,         175648.92,         173358.75,         165070.92,         155679.88,         129238.35,          81236.98,          79262.08,          48298.25,          54051.22,          49651.02,          39208.24
,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,         167557.53,         167395.01,         175736.36,         163161.14,         149157.98,         145114.10,         142288.42,         131276.32,         106017.70,          65703.18,          74667.12,,,,          24181.73
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         543000.36,         483948.48,         457724.51,         461705.78,         469176.35,         442940.31,         437316.03,         426467.06,         372887.97,         327765.34,         424854.44,         400425.28,         380896.42,         347589.43,         325185.29,         285578.92,         258058.87,         239819.12,         240764.50,         209885.20,         188865.70,         169707.36,         154947.62,         139131.50,         124959.17,          77779.03,,,          43188.97,          38512.14,          32802.87
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         407561.03,         380094.09,         360156.54,         357364.43,         378923.22,         372636.27,         374855.27,,         316574.35,         294884.04,         366312.28,,         284839.01,         247311.55,         236599.78,         208725.94,         197040.24,         209151.09,         219992.18,         191534.60,         185519.40,         176661.24,         158391.08,         146420.62,         124400.27,          84001.93,          64985.29,          44740.26,          42971.36,          37708.20,
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),      636805386.44,      627400508.57,      616126868.53,      636548424.09,      502500893.16,      669450589.43,      623097763.49,      676361547.12,      582200925.74,      443737926.93,      603587540.57,      462791921.34,      357964345.39,      309251525.78,      265678076.81,      282768981.15,      246628370.49,      201088110.80,      192797352.98,      170263335.40,      153280302.51,      138850608.35,      141747394.71,       49164767.31,        7638948.82,       79388559.07,        4325113.98,        7524948.20,       59673660.96,       11881057.36,       61369523.48
,World,Animal,Export,Export(US$ Mil),         181591.47,         173231.97,         156895.92,         150949.63,         182549.48,         178577.83,         162013.97,         167027.13,         140796.53,         129179.44,         143650.48,         123601.14,         104901.40,          97382.60,          89488.34,          75786.68,          62669.07,          60680.07,          59325.43,          62211.88,          58582.27,          59598.79,          62658.86,          62254.33,          54141.18,          37654.92,          35798.31,          17725.46,          16368.07,          14746.98,           8547.74
,World,Capital goods,Export,Export(US$ Mil),        2116903.43,        1939675.46,        1785537.97,        1756193.05,        1973383.56,        1926661.73,        1843196.57,        1931955.82,        1651180.68,        1459976.96,        1956652.41,        1781705.92,        1577581.84,        1377948.03,        1274713.81,        1059947.35,         914411.04,         877498.28,         872651.13,         833470.74,         796816.66,         740887.71,         717141.01,         669429.53,         535617.13,         323943.78,         280957.27,         203984.01,         203329.14,         170320.97,         140026.83
,World,Chemicals,Export,Export(US$ Mil),         998532.36,         892357.95,         825071.52,         818872.82,         916884.53,         905169.61,         868856.76,         884050.17,         779721.96,         715868.09,         799506.30,         709258.82,         611520.74,         549879.79,         500876.80,         421858.18,         351402.07,         299592.67,         275434.35,         271867.73,         240353.72,         228453.36,         221294.03,         206454.34,         170856.80,         107914.20,          90397.85,          60312.47,          59821.45,          52402.70,          44864.04
,World,Consumer goods,Export,Export(US$ Mil),        2786482.78,        2539357.14,        2315935.67,        2374139.63,        2791377.29,        2759389.59,        2591697.08,        2636726.65,        2206178.15,        1984012.21,        2506026.20,        2182354.42,        1878649.20,        1651167.19,        1484814.46,        1252704.44,        1041950.12,         938644.58,         900564.52,         845490.00,         786634.28,         763975.38,         746159.79,         683918.36,         576543.00,         338463.66,         310984.21,         206483.47,         209357.24,         172793.03,         127409.68
,World,Food Products,Export,Export(US$ Mil),         322715.90,         300116.13,         275991.69,         268631.06,         304366.65,         296831.03,         273204.79,         270781.21,         231455.62,         222115.23,         241969.08,         209273.62,         177065.49,         160296.99,         148624.58,         129694.42,         108706.16,          97197.18,          92846.58,          98996.40,          93394.74,          94568.18,          98491.88,          92125.84,          78665.88,          46548.45,          38761.29,          18878.91,          18331.18,          15295.48,           9307.00
