Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,          16644.33,,,,,,,,           8111.57,,,,,,,,,,           2811.36,,,,,,,,
,Special Categories,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,           4104.19,,           5704.66,           9600.41,           6900.32,           7018.33,,,,
,Special Categories,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,           3875.51,           6627.13,,,,           1647.13,           2285.26,,,,
,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,           7790.46,,,,,,,,,,,,,,,,,,,,,           1784.03,           2497.02,,,,,
,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,          19964.13,          19050.80,,,          12104.52,          11749.40,          11327.33,          11276.90,           9972.87,           8792.74,           6942.27,           7649.00,           6870.87,           4535.83,           3377.53,           3080.72,           4948.40,           3594.17,           2266.08,           2044.60,           1756.57,             63.47,             68.56,,
,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,           6031.80,           5223.75,           5088.40,           4667.96,           4502.18,           5288.04,           5397.81,           5196.30,           4381.81,           2913.22,           2165.96,           2091.04,            144.26,            159.08,,
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          14638.19,          17568.23,          13785.16,          10169.39,          16318.25,          23156.74,          41732.89,          58237.80,          50440.00,          32585.94,          52101.00,          49841.32,          38591.56,          10899.81,           8964.34,          16881.27,          11267.09,          13790.80,          17148.45,          10412.97,           8223.43,           9480.88,           9630.98,           3365.64,           3137.88,           3852.35,           1654.22,            113.68,            100.33,,
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          13216.20,          13687.34,          14764.82,          11341.02,          18509.14,          18164.47,          20490.93,          26475.34,          21057.91,          13217.62,          13701.04,          15880.98,          11496.02,           7207.12,           6210.37,           7747.46,           5868.93,           6073.97,           5155.52,           5426.41,           5811.88,           6128.89,           5712.09,           4201.52,           2676.07,           2561.39,           2678.28,,,,
,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,           3910.13,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),      109264899.20,       71339518.73,      106390377.71,      110803010.73,      119687295.37,      125125598.80,      111320685.14,      114114222.86,       93488283.88,       81766936.64,      103910214.12,       77163541.51,       72081973.23,       55627394.26,       42444327.53,       25086117.34,       26483546.91,       25925431.57,       19573260.97,       15885380.09,        1887193.27,       17518016.66,        9566656.30,        1486347.18,         552754.69,        6187852.69,          14840.29,        4459724.82,        4306583.87,,
,World,Animal,Export,Export(US$ Mil),           3939.90,           4688.38,           4193.54,           3599.31,           4563.14,           4673.73,           5500.93,           4461.07,           4535.17,           3858.85,           3490.54,           3110.89,           2686.59,           2762.95,           2642.48,           2331.87,           1976.04,           1897.61,           1738.37,            868.61,            829.46,            883.22,            780.83,            703.39,            489.34,            363.63,            356.25,             55.96,             45.02,,
,World,Capital goods,Export,Export(US$ Mil),          17620.98,          19620.22,          14520.26,          15713.86,          24221.95,          24011.48,          21893.33,          21902.21,          18325.29,          13292.42,          17636.18,          13923.21,          11490.67,           9325.54,           7422.80,           6165.63,           5322.29,           4206.36,           3988.63,           3853.13,           3605.74,           3800.45,           2952.90,           2529.44,           1852.56,           1545.12,           1425.33,             12.75,             15.58,,
,World,Chemicals,Export,Export(US$ Mil),           8558.57,           9040.38,           7673.23,           7564.53,          10907.68,           9494.89,           8462.98,           8363.93,           7358.21,           5289.62,           7495.33,           5804.46,           5388.23,           5232.04,           4474.22,           3382.85,           3261.22,           2530.86,           2543.76,           2240.39,           2245.53,           2475.14,           2387.79,           2091.23,           1417.51,           1065.30,           1168.40,              8.78,              4.97,,
,World,Consumer goods,Export,Export(US$ Mil),          46075.22,          43838.92,          33434.90,          32392.17,          56549.29,          43463.76,          56266.96,          60369.63,          47873.59,          27910.07,          28961.86,          23845.02,          29244.95,          23253.53,          20769.73,          17745.53,          13776.63,          13302.21,          12968.48,           7514.18,           7208.90,           6794.22,           5190.95,           5007.10,           3162.55,           2858.54,           2614.98,            151.46,            164.75,,
,World,Food Products,Export,Export(US$ Mil),          17785.00,          19020.89,          16930.37,          15190.98,          16901.79,          19124.87,          20432.51,          17444.59,          15476.47,          13913.76,          11397.95,          10010.81,           9178.51,           8208.26,           8319.14,           7294.40,           6176.97,           5667.12,           5110.11,           4631.91,           5038.61,           5117.31,           5551.03,           4319.63,           1483.81,            993.30,            758.23,            408.35,            339.93,,
,World,Footwear,Export,Export(US$ Mil),            477.61,            505.95,            450.44,            441.56,            573.88,            731.59,            591.05,            520.21,            735.81,            305.37,            243.90,            229.00,            199.88,            116.79,            157.84,            144.15,            136.37,            138.24,            138.17,            101.26,            100.35,            101.01,             89.48,             75.10,             33.60,             26.07,             22.57,              3.36,              0.40,,
,World,Fuels,Export,Export(US$ Mil),         116090.85,         101963.32,          69628.15,          45671.43,         174511.25,         176487.39,         220428.02,         218767.19,         157279.36,         113148.94,         113132.28,         117806.89,          82270.96,          18159.78,          12377.53,          33822.98,          25558.18,          26665.15,          35251.66,          20845.39,          11176.24,          16037.74,          17641.22,           4484.35,           4245.70,           4934.62,           1630.27,              1.46,              1.60,,
,World,Hides and Skins,Export,Export(US$ Mil),            639.72,            654.03,            644.59,            705.24,           1466.78,           1926.78,           1794.36,           1493.68,           3608.49,            872.96,           1208.60,            886.33,            545.57,            450.01,            419.42,            321.06,            391.23,            419.12,            437.91,            294.79,            309.01,            409.69,            327.39,            431.30,            237.42,            179.80,            174.85,              3.11,              3.10,,
,World,Intermediate goods,Export,Export(US$ Mil),          69204.79,          69527.30,          53138.74,          51688.90,          66532.62,          73786.40,          75758.78,          80131.25,          62757.86,          41599.32,          53191.32,          49057.01,          42363.82,          33205.55,          27901.19,          20699.88,          15320.98,          17557.94,          14387.40,          13854.20,           9747.33,          10856.68,          13471.21,          12454.41,           6866.41,           6137.21,           5465.29,             92.02,             91.97,,
,World,Mach and Elec,Export,Export(US$ Mil),           9683.55,           8883.39,           8580.40,          10221.33,          12041.98,          11504.33,          11717.26,          11893.59,          10184.41,           7235.94,           9858.33,           8770.19,           7007.96,           5589.15,           4786.03,           3802.75,           3119.45,           3082.46,           2728.81,           2396.19,           2211.24,           2071.82,           1809.02,           1512.98,           1020.58,            885.02,            774.25,             10.22,              8.72,,
,World,Metals,Export,Export(US$ Mil),          24910.47,          21841.95,          12701.82,          18084.45,          24604.73,          24029.38,          23335.54,          26290.66,          24164.23,          14670.45,          22435.65,          21554.93,          16714.16,          13091.45,          12238.27,           7877.12,           5893.94,           5586.61,           6138.50,           5012.58,           3275.23,           4032.29,           5400.06,           5691.73,           3140.41,           3048.57,           2686.91,              1.72,              1.57,,
,World,Minerals,Export,Export(US$ Mil),          15945.23,          15805.62,          11966.53,          12272.61,          18532.61,          21194.79,          18968.19,          20094.81,          15302.47,          10240.87,          13355.66,           8950.20,           5854.50,           4815.84,           3947.62,           2260.29,           2622.01,           2449.28,           2422.38,           2113.28,           2251.71,           2103.79,           2116.01,           2043.13,            971.80,           1106.19,           1074.98,             20.55,             22.43,,
,World,Miscellaneous,Export,Export(US$ Mil),           2820.17,           2469.43,           2789.60,           2720.87,           2697.00,           2802.14,           3460.19,           4269.53,           3121.18,           3329.76,           2993.58,           2806.91,           2263.79,           1516.98,           2778.14,           2599.96,           1620.28,           1043.81,           4491.56,            974.53,           3409.37,           3576.57,           2485.20,           8447.38,           9774.98,           9366.15,           9097.06,              8.17,              8.11,,
,World,Plastic or Rubber,Export,Export(US$ Mil),           3816.32,           4103.10,           3230.28,           2911.40,           3727.47,           6588.60,          14119.47,          11977.86,           4256.05,           2533.07,           3528.76,           2286.02,           1926.24,           1553.11,           1322.70,           1103.62,            860.22,            785.53,            797.04,            716.78,            903.40,            756.66,            868.93,            643.10,            267.87,            231.35,            271.94,              2.11,              2.54,,
,World,Raw materials,Export,Export(US$ Mil),         147933.35,         135954.34,         104269.22,          81338.44,         199371.82,         221472.85,         255242.28,         246899.38,         180590.81,         139527.70,         145276.21,         144147.31,          93340.39,          33322.96,          26744.10,          46133.72,          36479.22,          37150.71,          46786.02,          30219.63,          21934.07,          29356.53,          28918.92,          14592.65,          10634.07,          10213.83,           4174.86,            517.19,            428.58,,
,World,Stone and Glass,Export,Export(US$ Mil),          37897.08,          37243.65,          34860.93,          28458.04,          33486.28,          39963.16,          43251.67,          45287.79,          28034.65,          19374.68,          22580.71,          22938.50,          19521.65,          16244.39,          12767.71,          10181.84,           6453.59,           9623.09,           6709.47,           4963.68,           2383.92,           4645.53,           4621.73,           3268.95,           3215.09,           3442.39,            889.93,              4.80,              4.39,,
,World,Textiles and Clothing,Export,Export(US$ Mil),           4659.42,           6029.74,           4646.75,           5063.52,           6590.37,           6010.15,           6319.28,           6080.51,           5136.01,           4370.00,           5221.16,           4736.99,           4086.09,           4320.14,           5805.34,           4924.21,           3812.00,           3382.17,           3883.04,           3019.59,           3032.46,           3164.09,           2866.62,           2577.17,           1472.89,           1469.09,            693.05,             59.68,             39.72,,
,World,Transportation,Export,Export(US$ Mil),          15044.40,          16809.64,          11359.81,          11601.22,          16909.14,          16411.32,          14273.28,          15136.78,          12672.87,           9326.59,          12674.66,           8300.74,           7555.05,           6765.90,           5358.31,           4834.50,           3970.33,           2797.94,           2511.59,           2460.90,           1802.75,           1999.66,           1286.50,           1240.47,            909.30,            842.81,            822.89,              5.86,              8.40,,
,World,Vegetable,Export,Export(US$ Mil),          15864.35,          16242.28,          12899.59,          13823.91,          15620.30,          17686.69,          13894.87,          13738.86,          13250.72,          10472.99,          10894.52,           8524.68,           8037.10,           6424.42,           5702.95,           4855.33,           3617.22,           3910.48,           4320.30,           4270.97,           4622.92,           4573.89,           3212.36,           3759.32,           2009.29,            982.31,           1505.05,            178.50,            206.76,,
,World,Wood,Export,Export(US$ Mil),           3714.81,           4786.30,           3925.10,           3710.03,           4161.22,           4673.54,           3961.03,           5727.18,           5514.53,           5282.33,           5966.48,           5723.35,           4188.57,           4364.94,           3608.13,           2901.29,           2266.35,           2599.21,           2930.55,           2099.93,           1957.54,           2433.14,           2607.59,           2301.83,           1332.10,            910.23,            818.57,              5.74,              6.31,,
,World,All Products,Export,Exports (in US$ Mil),         281847.45,         270088.05,         206481.12,         182040.43,         347295.62,         363303.38,         410510.61,         411548.24,         310630.66,         224226.18,         246478.11,         232440.89,         177424.85,          99616.14,          86705.82,          92638.23,          71735.39,          72578.69,          82153.23,          57010.78,          45549.76,          54381.53,          54051.74,          43591.06,          32021.69,          29846.83,          22745.19,            778.36,            703.98,,
,World,Capital goods,Import,Import(US$ Mil),          70850.70,          69760.41,          66328.32,          62501.70,          86788.92,         101563.32,          90492.86,          92924.14,          83821.60,          72169.86,          75207.75,          70613.32,          51248.93,          36495.18,          30057.73,          28301.16,          21657.72,          19769.75,          18314.62,          16880.01,          19115.96,          18908.01,          16469.21,          15926.09,          10825.62,           8189.03,           7598.29,            332.12,            343.82,,
,World,Consumer goods,Import,Import(US$ Mil),         103531.68,         102922.51,          90930.19,          88917.31,         118798.92,         129882.43,         110349.82,         117748.41,          97656.88,          78959.76,          74748.52,          71067.38,          53034.24,          39997.10,          32636.29,          30805.57,          23640.45,          22873.55,          20450.51,          15741.14,          16435.01,          15207.88,          13048.66,          11310.98,           6284.84,           5235.95,           4032.93,            319.91,            403.64,,
,World,Intermediate goods,Import,Import(US$ Mil),          57573.12,          59547.27,          51450.25,          45842.29,          65870.46,          69347.48,          62199.26,          66337.95,          56183.77,          47559.17,          52036.05,          48494.51,          35152.49,          25161.28,          20913.68,          20641.48,          17898.96,          16773.71,          14958.51,          13336.06,          14621.10,          14668.38,          12541.31,          11381.62,           6486.94,           5266.39,           4872.71,            327.73,            328.76,,
,World,Raw materials,Import,Import(US$ Mil),          32592.19,          30005.08,          24896.45,          26797.77,          42777.62,          43555.76,          42866.82,          44277.94,          32308.98,          27369.42,          36033.85,          28631.36,          24123.83,          18073.37,          14766.86,          12070.50,           9399.04,           9637.55,           9576.23,           6905.00,           6898.70,           8537.23,           6630.21,           5546.06,           1646.56,           1527.32,           1478.53,             64.94,             66.54,,
