Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Swaziland,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             19.24,             23.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           1249.65,           1053.49,           1153.44,           1189.22,           1199.81,,,,,,            888.55,            446.12,            478.83,            907.75,            521.50,            205.90,            429.07,            530.67,,,,,,,,,,,,
Swaziland,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1248.45,           1057.85,           1182.62,           1464.98,           1546.17,,,,,,           1033.24,            995.23,           1339.29,           1567.75,           1199.34,            847.83,            740.15,           1022.13,,,,,,,,,,,,
Swaziland,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,             18.14,,,,,,,,,,,,,,
Swaziland,Tanzania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             35.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,Uganda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,            246.67,,,,,,,,,,,,,,,,,,
Swaziland,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,              5.58,,,,,,,,,,,,,,,,,,,
Swaziland,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,            128.38,,,,,             32.91,,,,,,,,,,,,
Swaziland,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,             32.64,,,             19.22,             29.75,,,,,,,,,,,,,
Swaziland,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,             48.86,             56.17,            135.43,            217.54,             64.31,,             78.68,,,,,,,,,,,,
Swaziland,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             28.69,,             20.90,             12.19,,,,,,,             17.39,,,,,,,,,,,,,,,,,,,
Swaziland,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            575.86,,,,,,,,,,,,,,,,
Swaziland,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,             12.92,,,,,,,,,,,,
Swaziland,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,        1269287.89,        1309482.05,        1325732.09,        1637120.53,        1622463.84,,,,,,          65536.94,          84327.44,          72034.50,          77861.66,,          35082.19,         805444.69,,,,,,,,,,,,,
Swaziland,World,Animal,Export,Export(US$ Mil),,              7.00,              9.98,             12.49,             12.89,             13.72,,,,,,              2.13,              6.76,              6.98,             14.90,             17.01,             12.49,              8.92,             17.55,,,,,,,,,,,,
Swaziland,World,Capital goods,Export,Export(US$ Mil),,             26.99,             18.76,             27.92,             26.19,             22.15,,,,,,             42.87,             49.50,             52.84,             58.24,             48.30,             34.78,             28.21,             81.40,,,,,,,,,,,,
Swaziland,World,Chemicals,Export,Export(US$ Mil),,            913.93,            781.41,            868.26,            972.81,            876.29,,,,,,            594.65,            622.01,            583.30,            560.08,            581.41,            513.69,            179.53,            178.44,,,,,,,,,,,,
Swaziland,World,Consumer goods,Export,Export(US$ Mil),,            353.09,            306.29,            374.69,            341.91,            341.24,,,,,,            150.19,            296.04,            301.30,            531.74,            657.13,            316.88,            335.32,            349.45,,,,,,,,,,,,
Swaziland,World,Food Products,Export,Export(US$ Mil),,            446.53,            427.65,            451.60,            461.37,            518.55,,,,,,            223.34,            374.17,            232.13,            263.83,            218.30,            130.87,            266.03,            261.76,,,,,,,,,,,,
Swaziland,World,Footwear,Export,Export(US$ Mil),,              0.22,              0.05,              0.13,              0.09,              0.46,,,,,,              0.14,              0.49,              0.31,              0.61,              0.75,              0.27,              0.28,              0.19,,,,,,,,,,,,
Swaziland,World,Fuels,Export,Export(US$ Mil),,             21.43,             13.99,             14.28,             19.72,             26.17,,,,,,             14.01,             15.92,              9.02,             14.18,             10.83,              7.64,              6.70,              6.30,,,,,,,,,,,,
Swaziland,World,Hides and Skins,Export,Export(US$ Mil),,              0.69,              0.61,              0.89,              0.89,              0.98,,,,,,              0.68,              0.73,              0.60,              0.25,              0.61,              0.64,              0.62,              1.53,,,,,,,,,,,,
Swaziland,World,Intermediate goods,Export,Export(US$ Mil),,           1348.50,           1179.31,           1281.17,           1397.20,           1334.90,,,,,,            855.84,           1057.55,            860.03,            905.76,            887.85,            693.37,            384.61,            392.95,,,,,,,,,,,,
